timestamp,open,high,low,close
2019-10-15,331.4400,331.6400,331.2200,331.4700
2019-10-14,331.7300,332.5400,331.5700,332.2500
2019-10-13,331.7700,332.0600,331.5100,331.9600
2019-10-11,331.7700,332.3500,330.6500,331.4700
2019-10-10,333.8200,334.3200,331.6700,332.0300
2019-10-09,333.7600,334.6600,333.4400,334.1400
2019-10-08,332.9900,334.6600,332.8900,333.7200
2019-10-07,332.0400,333.7600,331.9100,333.2400
2019-10-06,332.3300,332.6900,332.1400,332.1800
2019-10-04,331.8800,332.8800,331.6300,332.4300
2019-10-03,333.4900,333.8100,331.6800,332.2000
2019-10-02,335.0700,335.6400,333.3100,333.5600
2019-10-01,334.5300,335.7500,334.0300,335.1000
2019-09-30,335.1300,335.5600,334.1700,334.5700
2019-09-29,335.1200,335.3600,334.7700,335.1600
2019-09-27,335.2300,336.2400,334.5100,334.9800
2019-09-26,333.7900,335.6400,333.1900,335.4000
2019-09-25,333.3900,334.9700,333.1200,334.0600
2019-09-24,334.7300,335.9900,333.2200,333.3000
2019-09-23,333.4500,335.2900,333.0000,334.8500
2019-09-22,333.6800,333.8200,333.3200,333.4000
2019-09-21,333.5700,333.5700,333.5700,333.5700
2019-09-20,331.8700,334.2800,331.7100,333.4500
2019-09-19,332.5500,333.4000,331.5300,332.2300
2019-09-18,333.2700,333.7100,332.3200,332.6400
2019-09-17,331.7600,334.2500,331.7000,333.5500
2019-09-16,331.3000,332.4400,331.0100,331.7000
2019-09-15,331.1500,331.4800,330.8400,331.4600
2019-09-13,332.2900,332.7400,330.4500,330.9900
2019-09-12,331.8000,332.6900,330.0400,332.4100
2019-09-11,331.4300,333.3900,331.0900,332.1600
2019-09-10,329.7800,331.9200,329.7300,331.5500
2019-09-09,329.5900,330.4200,329.3800,330.0400
2019-09-08,330.2200,330.2300,329.5800,329.8800
2019-09-06,329.5300,330.9300,329.1300,329.6200
2019-09-05,329.2400,329.8600,328.8800,329.7100
2019-09-04,329.6000,329.8800,328.0600,329.4100
2019-09-03,330.9500,331.3300,329.4800,329.8600
2019-09-02,330.9800,331.5100,330.4600,331.0800
2019-09-01,331.0900,331.3000,330.7500,330.9600
2019-08-30,331.1200,331.7000,330.3800,331.0100
2019-08-29,329.9700,331.8000,329.6800,331.1800
2019-08-28,329.1900,330.3700,329.0400,330.0900
2019-08-27,328.9200,329.5500,328.3100,329.1200
2019-08-26,328.9000,329.4000,328.1900,329.1700
2019-08-25,328.9000,329.4000,328.6700,328.9300
2019-08-23,327.7200,329.4300,327.6700,329.0200
2019-08-22,327.1300,328.4000,326.6000,328.0200
2019-08-21,327.0400,327.5100,326.7400,327.0400
2019-08-20,326.0700,327.7900,325.9300,327.2800
2019-08-19,324.2000,326.8500,324.1000,326.4000
2019-08-18,324.2400,324.8600,324.1200,324.5600
2019-08-16,325.4200,325.7000,324.0900,324.1600
2019-08-15,325.1900,326.3900,324.8500,325.6000
2019-08-14,323.1000,325.7000,322.9800,325.4800
2019-08-13,323.9900,324.4600,322.9300,323.2100
2019-08-12,324.4600,324.8500,323.7200,324.1600
2019-08-11,324.6600,324.6900,324.1300,324.6400
2019-08-09,323.7800,324.9900,323.7100,324.1300
2019-08-08,325.7100,326.0800,323.7100,323.9500
2019-08-07,324.5700,326.4200,324.5100,325.6000
2019-08-06,326.8100,327.0800,324.4900,324.7400
2019-08-05,327.0700,327.7600,325.7900,327.0300
2019-08-04,327.1600,327.3000,326.8500,327.1100
2019-08-02,327.1800,327.8200,326.0300,327.0200
2019-08-01,325.6900,327.4700,325.6500,327.1600
2019-07-31,327.1100,327.6000,325.2900,325.9700
2019-07-30,327.4200,327.9200,327.0300,327.4000
2019-07-29,326.5200,327.9400,326.2100,327.6300
2019-07-28,326.4500,326.8600,326.2200,326.7000
2019-07-26,326.0200,327.0000,325.7700,326.4800
2019-07-25,325.1400,326.5000,324.8100,326.1100
2019-07-24,325.5500,325.9000,324.8300,325.3100
2019-07-23,324.9500,325.9700,324.7700,325.7300
2019-07-22,325.0500,325.3900,324.4500,325.2500
2019-07-21,325.0000,325.2900,324.7800,325.1500
2019-07-19,325.4700,325.9800,324.3500,324.6300
2019-07-18,326.1900,326.6500,325.2200,325.6700
2019-07-17,325.8100,326.7700,325.4500,326.5100
2019-07-16,324.9700,326.0800,324.8100,325.9900
2019-07-15,325.2600,325.9500,324.7400,325.1500
2019-07-14,325.6600,325.7200,325.2200,325.4700
2019-07-12,325.6500,325.9100,325.1000,325.6200
2019-07-11,325.4400,326.1000,325.0900,325.7200
2019-07-10,325.2500,326.1000,325.0700,325.6400
2019-07-09,324.3300,325.7300,324.2800,325.4200
2019-07-08,323.6900,324.8600,323.4900,324.5900
2019-07-07,323.9200,324.0400,323.5100,323.9500
2019-07-05,322.3100,324.4200,322.3100,323.7100
2019-07-04,321.9100,323.0200,321.8100,322.4200
2019-07-03,322.5000,323.1600,321.7800,322.0300
2019-07-02,322.8700,323.2700,322.3700,322.7800
2019-07-01,322.8200,323.3600,322.2800,323.0500
2019-06-30,322.9600,323.1200,322.5700,323.0000
2019-06-28,323.4800,323.9500,322.3300,322.7000
2019-06-27,323.1300,323.8700,322.9100,323.4900
2019-06-26,323.0600,323.6700,322.8700,323.2300
2019-06-25,323.2800,324.5200,322.6300,323.3900
2019-06-24,324.0100,324.4200,323.0400,323.4200
2019-06-23,324.1700,324.2400,323.6800,324.1000
2019-06-21,322.9800,324.3000,322.5800,323.9400
2019-06-20,323.2200,324.3100,322.7000,323.0200
2019-06-19,322.9800,324.2100,322.6500,323.3200
2019-06-18,322.0100,323.3700,321.6900,322.9400
2019-06-17,321.9800,322.3900,321.8100,322.3700
2019-06-16,322.0800,322.3400,321.9100,321.9800
2019-06-14,321.6700,322.4000,321.0100,322.1400
2019-06-13,321.9100,322.3300,321.5100,321.9500
2019-06-12,320.8300,322.1400,320.6000,321.9200
2019-06-11,319.7800,321.4000,319.5200,320.8500
2019-06-10,319.8100,320.2900,319.4300,319.9800
2019-06-09,320.2800,320.2800,319.7400,320.0100
2019-06-07,320.5100,321.6800,319.5000,319.7800
2019-06-06,320.9300,321.6300,320.3600,320.8700
2019-06-05,321.6800,322.2400,320.4100,321.3500
2019-06-04,322.7100,323.1500,321.4500,321.8600
2019-06-03,324.4500,325.0200,322.4600,322.9700
2019-06-02,324.7000,324.8400,324.2500,324.8400
2019-05-31,324.3300,325.3500,323.8100,324.5200
2019-05-30,325.7700,325.9100,324.2000,324.6200
2019-05-29,326.8200,327.5000,325.3500,325.8200
